id,slug,pun,category,status,approved_version,approved_at,asset_master_png,asset_final_svg,asset_web,asset_web_2x,width,height,sha256_master,sha256_svg,sha256_web,model_or_tool,prompt,notes
11,find-your-why,Find Your Why,Algebra,idea,,,,,,,,,,,,,,
12,x-marks-the-solution,X Marks the Solution,Algebra,idea,,,,,,,,,,,,,,
13,keep-it-on-the-same-side,Keep It on the Same Side,Algebra,idea,,,,,,,,,,,,,,
14,variable-by-nature,Variable by Nature,Algebra,idea,,,,,,,,,,,,,,
15,solve-for-awesome,Solve for Awesome,Algebra,idea,,,,,,,,,,,,,,
16,life-has-many-variables,Life Has Many Variables,Algebra,idea,,,,,,,,,,,,,,
17,functioning-beautifully,Functioning Beautifully,Algebra,idea,,,,,,,,,,,,,,
18,stay-balanced,Stay Balanced,Algebra,idea,,,,,,,,,,,,,,
19,express-yourself-algebraically,Express Yourself Algebraically,Algebra,idea,,,,,,,,,,,,,,
20,why-fear-x-its-just-a-variable,Why Fear X? It's Just a Variable,Algebra,idea,,,,,,,,,,,,,,
21,acute-teacher,Acute Teacher,Geometry,idea,,,,,,,,,,,,,,
22,youre-just-my-type-of-angle,You're Just My Type of Angle,Geometry,idea,,,,,,,,,,,,,,
23,dont-be-obtuse,Don't Be Obtuse,Geometry,idea,,,,,,,,,,,,,,
24,right-on-the-angle,Right on the Angle,Geometry,idea,,,,,,,,,,,,,,
25,the-proof-is-in-the-polygon,The Proof Is in the Polygon,Geometry,idea,,,,,,,,,,,,,,
26,i-have-a-point,I Have a Point,Geometry,idea,,,,,,,,,,,,,,
27,stay-in-shape,Stay in Shape,Geometry,idea,,,,,,,,,,,,,,
28,lines-meet-me-halfway,"Lines, Meet Me Halfway",Geometry,idea,,,,,,,,,,,,,,
29,parallel-lines-have-so-much-in-common,Parallel Lines Have So Much in Common,Geometry,idea,,,,,,,,,,,,,,
30,im-well-rounded,I'm Well-Rounded,Geometry,idea,,,,,,,,,,,,,,
31,sine-of-a-great-day,Sine of a Great Day,Trigonometry,idea,,,,,,,,,,,,,,
32,cosine-here-often,Cosine Here Often?,Trigonometry,idea,,,,,,,,,,,,,,
33,just-another-sine-day,Just Another Sine-Day,Trigonometry,idea,,,,,,,,,,,,,,
34,tan-lines-are-part-of-the-equation,Tan Lines Are Part of the Equation,Trigonometry,idea,,,,,,,,,,,,,,
35,sine-me-up,Sine Me Up,Trigonometry,idea,,,,,,,,,,,,,,
36,good-vibes-great-sines,"Good Vibes, Great Sines",Trigonometry,idea,,,,,,,,,,,,,,
37,finding-my-angle,Finding My Angle,Trigonometry,idea,,,,,,,,,,,,,,
38,secant-to-none,Secant to None,Trigonometry,idea,,,,,,,,,,,,,,
39,trigonometry-has-its-ups-and-downs,Trigonometry Has Its Ups and Downs,Trigonometry,idea,,,,,,,,,,,,,,
40,ive-got-rhythm-and-sine,I've Got Rhythm and Sine,Trigonometry,idea,,,,,,,,,,,,,,
41,limitless-potential,Limitless Potential,Calculus,idea,,,,,,,,,,,,,,
42,derivative-i-prefer-original,Derivative? I Prefer Original,Calculus,idea,,,,,,,,,,,,,,
43,integrate-kindness,Integrate Kindness,Calculus,idea,,,,,,,,,,,,,,
44,change-is-constant,Change Is Constant,Calculus,idea,,,,,,,,,,,,,,
45,approach-greatness,Approach Greatness,Calculus,idea,,,,,,,,,,,,,,
46,area-under-construction,Area Under Construction,Calculus,idea,,,,,,,,,,,,,,
47,born-to-differentiate,Born to Differentiate,Calculus,idea,,,,,,,,,,,,,,
48,find-your-inflection-point,Find Your Inflection Point,Calculus,idea,,,,,,,,,,,,,,
49,no-limits-just-possibilities,"No Limits, Just Possibilities",Calculus,idea,,,,,,,,,,,,,,
50,calculus-its-about-time,Calculus: It's About Time,Calculus,idea,,,,,,,,,,,,,,
51,above-average,Above Average,Statistics & probability,idea,,,,,,,,,,,,,,
52,statistically-significant,Statistically Significant,Statistics & probability,idea,,,,,,,,,,,,,,
53,mean-what-you-say,Mean What You Say,Statistics & probability,idea,,,,,,,,,,,,,,
54,mode-math,Mode: Math,Statistics & probability,idea,,,,,,,,,,,,,,
55,normal-is-overrated,Normal Is Overrated,Statistics & probability,idea,,,,,,,,,,,,,,
56,data-has-a-story,Data Has a Story,Statistics & probability,idea,,,,,,,,,,,,,,
57,plot-twist-check-the-data,Plot Twist: Check the Data,Statistics & probability,idea,,,,,,,,,,,,,,
58,spread-good-vibes,Spread Good Vibes,Statistics & probability,idea,,,,,,,,,,,,,,
59,confidence-level-100,Confidence Level: 100%,Statistics & probability,idea,,,,,,,,,,,,,,
60,outlier-and-proud,Outlier and Proud,Statistics & probability,idea,,,,,,,,,,,,,,
61,prime-time-teacher,Prime Time Teacher,Numbers & number theory,idea,,,,,,,,,,,,,,
62,oddly-even,Oddly Even,Numbers & number theory,idea,,,,,,,,,,,,,,
63,im-in-my-prime,I'm in My Prime,Numbers & number theory,idea,,,,,,,,,,,,,,
64,real-rational-remarkable,"Real, Rational, Remarkable",Numbers & number theory,idea,,,,,,,,,,,,,,
65,natural-number-enthusiast,Natural Number Enthusiast,Numbers & number theory,idea,,,,,,,,,,,,,,
66,rooting-for-the-irrationals,Rooting for the Irrationals,Numbers & number theory,idea,,,,,,,,,,,,,,
67,a-whole-lot-of-numbers,A Whole Lot of Numbers,Numbers & number theory,idea,,,,,,,,,,,,,,
68,count-me-among-the-integers,Count Me Among the Integers,Numbers & number theory,idea,,,,,,,,,,,,,,
69,perfectly-imperfect-number,Perfectly Imperfect Number,Numbers & number theory,idea,,,,,,,,,,,,,,
70,zero-is-my-hero,Zero Is My Hero,Numbers & number theory,idea,,,,,,,,,,,,,,
71,plot-your-own-course,Plot Your Own Course,Graphs & coordinates,idea,,,,,,,,,,,,,,
72,i-have-my-coordinates-together,I Have My Coordinates Together,Graphs & coordinates,idea,,,,,,,,,,,,,,
73,slope-happens,Slope Happens,Graphs & coordinates,idea,,,,,,,,,,,,,,
74,rise-to-the-occasion,Rise to the Occasion,Graphs & coordinates,idea,,,,,,,,,,,,,,
75,intercepting-bright-ideas,Intercepting Bright Ideas,Graphs & coordinates,idea,,,,,,,,,,,,,,
76,stay-on-the-positive-axis,Stay on the Positive Axis,Graphs & coordinates,idea,,,,,,,,,,,,,,
77,this-is-where-i-draw-the-line,This Is Where I Draw the Line,Graphs & coordinates,idea,,,,,,,,,,,,,,
78,graph-goals,Graph Goals,Graphs & coordinates,idea,,,,,,,,,,,,,,
79,on-an-upward-curve,On an Upward Curve,Graphs & coordinates,idea,,,,,,,,,,,,,,
80,origin-story,Origin Story,Graphs & coordinates,idea,,,,,,,,,,,,,,
81,math-teachers-have-all-the-problems,Math Teachers Have All the Problems,Math teacher energy,idea,,,,,,,,,,,,,,
82,no-problem-too-negative,No Problem Too Negative,Math teacher energy,idea,,,,,,,,,,,,,,
83,ask-me-y,Ask Me Y,Math teacher energy,idea,,,,,,,,,,,,,,
84,my-class-is-sum-thing-special,My Class Is Sum-thing Special,Math teacher energy,idea,,,,,,,,,,,,,,
85,powered-by-patterns,Powered by Patterns,Math teacher energy,idea,,,,,,,,,,,,,,
86,every-day-is-a-math-day,Every Day Is a Math Day,Math teacher energy,idea,,,,,,,,,,,,,,
87,teach-solve-repeat,"Teach, Solve, Repeat",Math teacher energy,idea,,,,,,,,,,,,,,
88,pencils-down-confidence-up,"Pencils Down, Confidence Up",Math teacher energy,idea,,,,,,,,,,,,,,
89,mistakes-are-data,Mistakes Are Data,Math teacher energy,idea,,,,,,,,,,,,,,
90,show-your-work-share-your-wonder,"Show Your Work, Share Your Wonder",Math teacher energy,idea,,,,,,,,,,,,,,
91,hypote-moose,Hypote-moose,Cutesy math creatures,idea,,,,,,,,,,,,,,
92,alge-bear,Alge-bear,Cutesy math creatures,idea,,,,,,,,,,,,,,
93,calcu-later-alligator,"Calcu-later, Alligator",Cutesy math creatures,idea,,,,,,,,,,,,,,
94,pi-thon-powered,Pi-thon Powered,Cutesy math creatures,idea,,,,,,,,,,,,,,
95,geo-me-tree-hugger,Geo-me-tree Hugger,Cutesy math creatures,idea,,,,,,,,,,,,,,
96,the-purr-fect-square,The Purr-fect Square,Cutesy math creatures,idea,,,,,,,,,,,,,,
97,radical-raccoon,Radical Raccoon,Cutesy math creatures,idea,,,,,,,,,,,,,,
98,sine-o-saur,Sine-o-saur,Cutesy math creatures,idea,,,,,,,,,,,,,,
99,count-a-pillar,Count-a-pillar,Cutesy math creatures,idea,,,,,,,,,,,,,,
100,sum-bunny-loves-math,Sum Bunny Loves Math,Cutesy math creatures,idea,,,,,,,,,,,,,,
